Timestamp,Latency(ms),Packet Loss(%),Data Rate(Mbps),Connection Status,Source IP,Destination IP,CPU Usage(%),Memory Usage(%),Network Throughput(Bytes),Scenario
18:24:49,655.03,0.0,0.01251,Success,127.0.0.1,127.0.0.1,18.2,84.0,0,High Latency
18:24:53,679.05,0.0,0.01206,Success,127.0.0.1,127.0.0.1,17.0,83.9,0,High Latency
18:24:57,663.22,0.0,0.01235,Success,127.0.0.1,127.0.0.1,17.1,84.2,536,High Latency
18:25:00,663.88,0.0,0.01234,Success,127.0.0.1,127.0.0.1,22.9,84.1,0,High Latency
18:25:04,665.68,0.0,0.01231,Success,127.0.0.1,127.0.0.1,8.6,84.0,606,High Latency
18:25:08,645.18,0.0,0.0127,Success,127.0.0.1,127.0.0.1,14.3,85.2,5680,High Latency
18:25:12,677.33,0.0,0.01209,Success,127.0.0.1,127.0.0.1,15.9,85.1,1020,High Latency
18:25:16,662.25,0.0,0.01237,Success,127.0.0.1,127.0.0.1,13.5,85.1,0,High Latency
18:25:20,679.48,0.0,0.01206,Success,127.0.0.1,127.0.0.1,19.0,85.4,205,High Latency
18:25:24,654.2,0.0,0.01252,Success,127.0.0.1,127.0.0.1,13.7,85.4,121,High Latency
18:25:27,635.67,0.0,0.01289,Success,127.0.0.1,127.0.0.1,12.5,84.6,0,High Latency
18:25:31,662.22,0.0,0.01237,Success,127.0.0.1,127.0.0.1,31.3,84.3,0,High Latency
18:25:35,666.51,0.0,0.01229,Success,127.0.0.1,127.0.0.1,15.6,84.3,0,High Latency
18:25:39,650.34,0.0,0.0126,Success,127.0.0.1,127.0.0.1,14.0,85.3,0,High Latency
18:25:43,647.67,0.0,0.01265,Success,127.0.0.1,127.0.0.1,13.0,85.3,121,High Latency
18:25:47,651.59,0.0,0.01257,Success,127.0.0.1,127.0.0.1,11.3,85.3,0,High Latency
18:25:50,647.68,0.0,0.01265,Success,127.0.0.1,127.0.0.1,18.3,85.3,783,High Latency
18:25:54,633.63,0.0,0.01293,Success,127.0.0.1,127.0.0.1,16.1,85.3,0,High Latency
18:25:58,662.55,0.0,0.01236,Success,127.0.0.1,127.0.0.1,15.3,84.6,0,High Latency
18:26:02,666.96,0.0,0.01228,Success,127.0.0.1,127.0.0.1,13.2,85.3,32154,High Latency
18:26:06,648.13,0.0,0.01264,Success,127.0.0.1,127.0.0.1,17.7,85.3,322,High Latency
18:26:10,664.92,0.0,0.01232,Success,127.0.0.1,127.0.0.1,13.2,85.2,355,High Latency
18:26:14,683.47,0.0,0.01199,Success,127.0.0.1,127.0.0.1,10.8,85.1,54,High Latency
18:26:17,651.53,0.0,0.01257,Success,127.0.0.1,127.0.0.1,11.6,85.2,583,High Latency
18:26:21,635.3,0.0,0.01289,Success,127.0.0.1,127.0.0.1,16.4,84.6,0,High Latency
18:26:25,635.68,0.0,0.01289,Success,127.0.0.1,127.0.0.1,12.9,84.3,0,High Latency
18:26:29,664.98,0.0,0.01232,Success,127.0.0.1,127.0.0.1,11.6,85.2,0,High Latency
